"PVWatts Hourly PV Performance Data"
"Requested Location","qatar"
"Location","ABU DHABI, UNITED ARAB EMIRATES"
"Latitude (DD)","24.43"
"Longitude (DD)","54.65"
"Elevation (m)","27"
"DC System Size (kW)","8"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"8","13","15","704","151","36.6","7.2","0.25","640.793","44.203","4062.384","3886.729"
"8","13","16","527","149","36","6.7","0.25","403.286","41.04","2585.132","2461.822"
"8","13","17","226","120","35","6.2","0.25","168.959","37.195","1014.816","947.148"
"8","13","18","0","23","34.5","5.1","0.25","21.303","34.811","111.773","76.104"
"8","13","19","0","0","33","4.1","0.25","0","33","0","0"
"8","13","20","0","0","33","0","0.25","0","33","0","0"
"8","13","21","0","0","32.6","2.1","0.25","0","32.6","0","0"
"8","13","22","0","0","31","1.5","0.25","0","31","0","0"
"8","13","23","0","0","30","1","0.25","0","30","0","0"
"8","14","0","0","0","29.6","1","0.25","0","29.6","0","0"
"8","14","1","0","0","29","3.1","0.25","0","29","0","0"
"8","14","2","0","0","28","1","0.25","0","28","0","0"
"8","14","3","0","0","27.5","1","0.25","0","27.5","0","0"
"8","14","4","0","0","28","1","0.25","0","28","0","0"
"8","14","5","0","0","27","0","0.25","0","0","0","0"
"8","14","6","0","35","26.5","2.6","0.25","32.016","27.186","186.533","148.215"
"8","14","7","239","135","29","2.1","0.25","194.317","33.594","1206.346","1131.892"
"8","14","8","526","167","33","2.1","0.25","435.548","43.418","2776.469","2646.379"
"8","14","9","685","180","35.1","2.1","0.25","672.468","51.143","4133.567","3955.39"
"8","14","10","792","167","36","3.1","0.25","856.473","53.022","5189.764","4974.162"
"8","14","11","864","139","37","4.6","0.25","966.503","52.376","5847.776","5608.857"
"8","14","12","868","146","37.6","5.1","0.25","1001.014","52.529","6041.531","5795.747"
"8","14","13","856","142","37","5.1","0.25","954.54","51.242","5805.65","5568.224"
"8","14","14","808","143","37","5.1","0.25","833.475","49.449","5135.334","4921.66"
"8","14","15","705","150","37.1","5.1","0.25","640.698","46.688","4020.749","3846.569"
"8","14","16","529","148","36","5.1","0.25","403.261","42.043","2574.463","2451.531"
"8","14","17","224","119","35","5.1","0.25","167.463","37.473","1004.027","936.742"
"8","14","18","0","22","33.7","4.1","0.25","20.375","34.038","105.859","70.4"
"8","14","19","0","0","33","3.6","0.25","0","33","0","0"
"8","14","20","0","0","33","2.6","0.25","0","33","0","0"
"8","14","21","0","0","32.5","2.6","0.25","0","32.5","0","0"
"8","14","22","0","0","32","2.1","0.25","0","32","0","0"
"8","14","23","0","0","31","1","0.25","0","31","0","0"
"8","15","0","0","0","31.5","1.5","0.25","0","31.5","0","0"
"8","15","1","0","0","31","2.1","0.25","0","31","0","0"
"8","15","2","0","0","31","1","0.25","0","31","0","0"
"8","15","3","0","0","29.3","1","0.25","0","29.3","0","0"
"8","15","4","0","0","29","0","0.25","0","29","0","0"
"8","15","5","0","0","28","1","0.25","0","0","0","0"
"8","15","6","0","34","28.5","0.5","0.25","31.151","29.575","178.842","140.796"
"8","15","7","233","135","31","1.5","0.25","192.931","36.178","1185.448","1111.734"
"8","15","8","506","173","33","0.5","0.25","431.589","48.121","2695.333","2568.118"
"8","15","9","655","193","34.9","2.1","0.25","664.505","50.75","4088.971","3912.374"
"8","15","10","728","204","37","1","0.25","840.458","62.595","4879.177","4674.579"
"8","15","11","751","216","38","4.1","0.25","943.739","54.069","5657.913","5425.722"
"8","15","12","761","220","37.7","4.6","0.25","979.588","53.269","5882.991","5642.824"
"8","15","13","739","220","37","5.7","0.25","929.345","49.895","5673.01","5440.284"
"8","15","14","779","160","37","5.1","0.25","825.895","49.335","5088.924","4876.895"
"8","15","15","699","153","36.7","5.7","0.25","639.643","45.608","4032.106","3857.524"
"8","15","16","517","151","36","6.2","0.25","400.17","41.275","2562.169","2439.673"
"8","15","17","219","118","35","5.7","0.25","165.198","37.271","991.037","924.212"
"8","15","18","0","21","34.2","5.1","0.25","19.444","34.483","100.921","65.637"
"8","15","19","0","0","34","4.1","0.25","0","34","0","0"
"8","15","20","0","0","33","3.1","0.25","0","33","0","0"
"8","15","21","0","0","32.7","1.5","0.25","0","32.7","0","0"
"8","15","22","0","0","32","2.1","0.25","0","32","0","0"
"8","15","23","0","0","32","2.1","0.25","0","32","0","0"
"8","16","0","0","0","31.3","1.5","0.25","0","31.3","0","0"
"8","16","1","0","0","31","0.5","0.25","0","31","0","0"
"8","16","2","0","0","30","1","0.25","0","30","0","0"
"8","16","3","0","0","29.6","2.1","0.25","0","29.6","0","0"
"8","16","4","0","0","30","3.1","0.25","0","30","0","0"
"8","16","5","0","0","30","3.1","0.25","0","0","0","0"
"8","16","6","0","31","30","3.6","0.25","28.574","30.518","162.251","124.794"
